id;d1;d2;cluster
c2sp1s1;10,50000;9,00000;0
c2sp1s2;10,56717;9,26845;0
c2sp1s3;8,27532;11,38221;1
c2sp1s4;8,22746;11,37764;1
c2sp1s5;8,17951;11,37211;1
c2sp1s6;8,13150;11,36561;1
c2sp1s7;8,08344;11,35814;1
c2sp1s8;8,03536;11,34970;1
c2sp1s9;7,98727;11,34027;1
c2sp1s10;7,93920;11,32987;1
c2sp1s11;7,89116;11,31848;1
c2sp1s12;7,84317;11,30611;1
c2sp1s13;10,57166;9,29981;0
c2sp1s14;7,79526;11,29275;1
c2sp1s15;7,74744;11,27840;1
c2sp1s16;7,69974;11,26305;1
c2sp1s17;7,65217;11,24672;1
c2sp1s18;7,60476;11,22939;1
c2sp1s19;7,55752;11,21107;1
c2sp1s20;7,51048;11,19176;1
c2sp1s21;7,46366;11,17146;1
c2sp1s22;7,41707;11,15017;1
c2sp1s23;7,37075;11,12789;1
c2sp1s24;10,57552;9,33144;0
c2sp1s25;7,32470;11,10463;1
c2sp1s26;7,27896;11,08039;1
c2sp1s27;7,23353;11,05516;1
c2sp1s28;7,18845;11,02896;1
c2sp1s29;7,14373;11,00179;1
c2sp1s30;7,09939;10,97365;1
c2sp1s31;7,05546;10,94454;1
c2sp1s32;7,01195;10,91448;1
c2sp1s33;6,96888;10,88347;1
c2sp1s34;6,92628;10,85151;1
c2sp1s35;10,57873;9,36332;0
c2sp1s36;6,88417;10,81862;1
c2sp1s37;6,84256;10,78479;1
c2sp1s38;6,80148;10,75003;1
c2sp1s39;6,76095;10,71436;1
c2sp1s40;6,72098;10,67778;1
c2sp1s41;6,68160;10,64031;1
c2sp1s42;6,64282;10,60194;1
c2sp1s43;6,60467;10,56269;1
c2sp1s44;6,56716;10,52257;1
c2sp1s45;6,53032;10,48159;3
c2sp1s46;10,58131;9,39544;0
c2sp1s47;6,49417;10,43975;3
c2sp1s48;6,45871;10,39709;3
c2sp1s49;6,42398;10,35359;3
c2sp1s50;6,38998;10,30928;3
c2sp1s51;6,35675;10,26417;3
c2sp1s52;6,32429;10,21826;3
c2sp1s53;6,29262;10,17159;3
c2sp1s54;6,26177;10,12415;3
c2sp1s55;6,23175;10,07596;3
c2sp1s56;6,20257;10,02704;3
c2sp1s57;10,58323;9,42778;0
c2sp1s58;6,17426;9,97740;3
c2sp1s59;6,14683;9,92705;3
c2sp1s60;6,12030;9,87602;3
c2sp1s61;6,09468;9,82432;3
c2sp1s62;6,06999;9,77196;3
c2sp1s63;6,04624;9,71896;3
c2sp1s64;6,02345;9,66534;3
c2sp1s65;6,00164;9,61111;3
c2sp1s66;5,98082;9,55630;3
c2sp1s67;5,96101;9,50092;3
c2sp1s68;10,58448;9,46034;0
c2sp1s69;5,94221;9,44499;3
c2sp1s70;5,92444;9,38853;3
c2sp1s71;5,90772;9,33156;3
c2sp1s72;5,89206;9,27410;3
c2sp1s73;5,87747;9,21616;3
c2sp1s74;5,86397;9,15777;3
c2sp1s75;5,85155;9,09894;3
c2sp1s76;5,84025;9,03971;3
c2sp1s77;5,83006;8,98008;3
c2sp1s78;5,82100;8,92009;3
c2sp1s79;10,58508;9,49309;0
c2sp1s80;5,81308;8,85974;3
c2sp1s81;5,80631;8,79907;3
c2sp1s82;5,80070;8,73809;3
c2sp1s83;5,79626;8,67684;3
c2sp1s84;5,79299;8,61532;3
c2sp1s85;5,79090;8,55356;3
c2sp1s86;5,79001;8,49159;3
c2sp1s87;5,79032;8,42943;3
c2sp1s88;5,79183;8,36709;3
c2sp1s89;5,79456;8,30462;3
c2sp1s90;10,58499;9,52603;0
c2sp1s91;5,79851;8,24202;3
