id;d1;d2;cluster
monkeyc1g1s1;8,80978;7,61115;0
monkeyc1g1s2;4,11075;11,10319;2
monkeyc1g1s3;4,11471;11,03959;2
monkeyc1g1s4;3,15474;6,74324;7
monkeyc1g1s5;5,97293;7,53798;0
monkeyc1g1s6;5,33068;7,03301;0
monkeyc1g1s7;5,72199;6,10314;0
monkeyc1g1s8;6,04055;6,56728;0
monkeyc1g1s9;8,01010;9,23509;0
monkeyc1g1s10;8,66364;9,11379;0
monkeyc1g1s11;3,36435;10,19331;0
monkeyc1g1s12;4,23395;10,00309;0
monkeyc1g1s13;6,54510;9,12709;0
monkeyc1g1s14;7,35131;10,73179;0
monkeyc1g1s15;6,60090;9,29302;0
monkeyc1g1s16;8,22777;7,99070;0
monkeyc1g1s17;3,64026;7,06694;0
monkeyc1g1s18;2,61675;8,07767;0
monkeyc1g1s19;4,69802;7,99514;0
monkeyc1g1s20;4,66321;9,71909;0
monkeyc1g1s21;6,88955;10,59442;0
monkeyc1g1s22;4,47419;8,94573;0
monkeyc1g1s23;7,82247;6,54663;0
monkeyc1g1s24;5,32549;5,43890;0
monkeyc1g1s25;4,27176;7,87689;0
monkeyc1g1s26;3,77916;7,98364;0
monkeyc1g1s27;6,64243;7,31762;0
monkeyc1g1s28;6,10352;8,24675;0
monkeyc1g1s29;8,28068;8,25015;0
monkeyc1g1s30;3,83098;11,02782;2
monkeyc1g1s31;6,01900;9,11662;0
monkeyc1g1s32;3,90103;7,04572;0
monkeyc1g1s33;8,28058;8,20474;0
monkeyc1g1s34;6,21991;5,36047;0
monkeyc1g1s35;5,04238;6,95564;0
monkeyc1g1s36;3,81709;6,84183;0
monkeyc1g1s37;3,95600;5,91963;7
monkeyc1g1s38;6,62872;9,44832;0
monkeyc1g1s39;2,82235;9,20587;0
monkeyc1g1s40;6,90383;8,48656;0
monkeyc1g1s41;3,36398;9,24367;0
monkeyc1g1s42;6,81804;6,26266;0
monkeyc1g1s43;4,14466;6,78284;0
monkeyc1g1s44;7,57298;6,06342;0
monkeyc1g1s45;3,98772;5,90029;7
monkeyc1g1s46;4,27063;8,43267;0
monkeyc1g1s47;5,92626;8,14528;0
monkeyc1g1s48;4,50054;9,59128;0
monkeyc1g1s49;5,12017;7,88681;0
monkeyc1g1s50;3,02643;8,19916;0
monkeyc1g1s51;3,38401;10,56784;0
monkeyc1g1s52;5,07712;11,42181;2
monkeyc1g1s53;2,53079;8,25429;0
monkeyc1g1s54;3,71645;7,26987;0
monkeyc1g1s55;3,54416;9,03049;0
monkeyc1g1s56;5,08235;5,95676;0
monkeyc1g1s57;7,92763;10,86815;0
monkeyc1g1s58;8,12485;6,98833;0
monkeyc1g1s59;4,22166;9,03534;0
monkeyc1g1s60;4,46682;9,90935;0
monkeyc1g1s61;4,41125;10,22585;0
monkeyc1g1s62;5,89719;7,23744;0
monkeyc1g1s63;5,52900;9,78916;0
monkeyc1g1s64;5,76707;10,77261;0
monkeyc1g1s65;8,72135;9,24907;0
monkeyc1g1s66;7,53904;11,21893;0
monkeyc1g1s67;8,57320;8,45943;0
monkeyc1g1s68;4,65555;9,11618;0
monkeyc1g1s69;3,58318;7,96673;0
monkeyc1g1s70;5,45103;9,65505;0
monkeyc1g1s71;7,16268;6,83743;0
monkeyc1g1s72;8,82187;8,34397;0
monkeyc1g1s73;8,70148;8,44679;0
monkeyc1g1s74;8,57297;7,61559;0
monkeyc1g1s75;5,68325;11,42521;0
monkeyc1g1s76;8,77466;7,66302;0
monkeyc1g1s77;5,94105;8,10075;0
monkeyc1g1s78;8,68920;7,93023;0
monkeyc1g1s79;4,81632;8,63252;0
monkeyc1g1s80;3,30292;8,45439;0
monkeyc1g1s81;6,07642;8,80052;0
monkeyc1g1s82;7,38750;9,87899;0
monkeyc1g1s83;3,94256;7,57962;0
monkeyc1g1s84;3,85641;10,75287;0
monkeyc1g1s85;3,49162;7,01771;0
monkeyc1g1s86;3,18516;7,26065;0
monkeyc1g1s87;8,39501;8,58433;0
monkeyc1g1s88;7,90170;8,27353;0
monkeyc1g1s89;5,91592;6,47323;0
monkeyc1g1s90;8,11376;9,80576;0
monkeyc1g1s91;8,90668;8,36598;0
monkeyc1g1s92;3,68015;7,05886;0
monkeyc1g1s93;2,64099;9,43663;0
monkeyc1g1s94;5,70142;11,71626;2
monkeyc1g1s95;7,04783;7,00150;0
monkeyc1g1s96;7,88913;8,71921;0
monkeyc1g1s97;8,56429;9,64051;0
monkeyc1g1s98;4,03494;6,43484;0
monkeyc1g1s99;2,93664;9,40837;0
monkeyc1g1s100;6,34256;8,52213;0
monkeyc1g1s101;5,56480;11,78205;2
monkeyc1g1s102;5,63881;6,46220;0
monkeyc1g1s103;2,62190;8,41002;0
monkeyc1g1s104;3,80821;7,43947;0
monkeyc1g1s105;7,22741;8,53615;0
monkeyc1g1s106;3,86176;10,06109;0
monkeyc1g1s107;8,95907;9,00276;0
monkeyc1g1s108;7,69773;6,62113;0
monkeyc1g1s109;5,04029;8,03843;0
monkeyc1g1s110;7,05325;8,03048;0
monkeyc1g1s111;3,69206;10,51587;0
monkeyc1g1s112;6,40268;10,22315;0
monkeyc1g1s113;7,12253;8,46473;0
monkeyc1g1s114;7,27141;7,03692;0
monkeyc1g1s115;6,86812;6,57175;0
monkeyc1g1s116;7,35694;10,24361;0
monkeyc1g1s117;3,00641;9,18374;0
monkeyc1g1s118;4,19976;7,10724;0
monkeyc1g1s119;6,17442;10,44858;0
monkeyc1g1s120;5,07937;6,48887;0
monkeyc1g1s121;7,81780;8,33880;0
monkeyc1g1s122;2,79396;9,52086;0
monkeyc1g1s123;8,00982;10,74096;0
monkeyc1g1s124;8,02483;8,86349;0
monkeyc1g1s125;4,69956;7,50438;0
monkeyc1g1s126;2,56250;8,07981;0
monkeyc1g1s127;5,63257;6,76762;0
monkeyc1g1s128;7,13798;6,72847;0
monkeyc1g1s129;8,94522;8,18066;0
